tpop_2021, tpop_2020, tpop_2015, tpop_2016, tpop_2017, vifsa_name, tpop_2018, lga_name, tpop_2011, tpop_2012, tpop_2013, tpop_2014, tpop_2019, vifsa_code, tpop_2031, tpop_2030, tpop_2028, tpop_2029, tpop_2026, lga_code, tpop_2027, tpop_2024, tpop_2025, tpop_2022, tpop_2023
7619,7589,7488,7490,7511,"VIFSA Bright-Harrietville District",7534,"Alpine (S)",7507,7541,7506,7491,7561,"VIFSA.20110.10",7999,7957,7875,7916,7798,20110,7836,7721,7759,7651,7685
4471,4473,4508,4495,4487,"VIFSA Myrtleford District",4481,"Alpine (S)",4560,4562,4518,4525,4477,"VIFSA.20110.20",4500,4493,4480,4486,4469,20110,4474,4467,4468,4469,4467
3110,3112,3124,3128,3123,"VIFSA Ararat Rural",3118,"Ararat (RC)",3158,3147,3141,3125,3115,"VIFSA.20260.10",3052,3056,3067,3061,3079,20260,3072,3089,3083,3102,3095
8468,8404,8111,8171,8225,"VIFSA Ararat Town",8282,"Ararat (RC)",8168,8188,8087,8066,8342,"VIFSA.20260.20",8861,8819,8739,8778,8665,20260,8701,8580,8621,8503,8540
65876,65079,61112,62038,62765,"VIFSA Ballarat Central and East District",63519,"Ballarat (C)",57864,58646,59453,60247,64293,"VIFSA.20570.10",73692,72953,71466,72210,69978,20570,70721,68307,69139,66677,67486
3337,3333,3300,3323,3324,"VIFSA Benalla Rural",3325,"Benalla (RC)",3352,3320,3296,3279,3329,"VIFSA.21010.10",3356,3355,3354,3354,3355,21010,3355,3346,3350,3339,3342
10473,10451,10352,10392,10401,"VIFSA Benalla Town",10414,"Benalla (RC)",10471,10407,10394,10319,10431,"VIFSA.21010.20",10788,10752,10683,10716,10619,21010,10650,10553,10585,10497,10524
49851,49608,47653,48251,48666,"VIFSA Ashburton-Camberwell District",49019,"Boroondara (C)",45427,45986,46420,46890,49322,"VIFSA.21110.10",53356,52873,51988,52412,51185,21110,51581,50599,50877,50068,50334
57365,57198,55366,56004,56370,"VIFSA Balwyn-Canterbury District",56703,"Boroondara (C)",53797,54037,54438,54778,56974,"VIFSA.21110.20",59257,58993,58501,58737,58030,21110,58265,57734,57869,57457,57600
43329,42822,39504,40343,41068,"VIFSA Hawthorn District",41673,"Boroondara (C)",36430,36834,37771,38559,42290,"VIFSA.21110.30",47876,47351,46380,46853,45502,21110,45931,44654,45083,43810,44227
34363,34218,32959,33316,33644,"VIFSA Kew District",33859,"Boroondara (C)",31408,31601,31795,32385,34051,"VIFSA.21110.40",35316,35201,34974,35084,34727,21110,34857,34568,34640,34414,34493
110053,108799,102379,103626,104868,"VIFSA Cairnlea-Sunshine District",106186,"Brimbank (C)",94784,96907,98981,101001,107476,"VIFSA.21180.10",120169,119267,117466,118357,115551,21180,116540,113392,114452,111142,112277
97236,97182,96572,96518,96690,"VIFSA Keilor-Sydenham District",96916,"Brimbank (C)",96711,96430,96344,96703,97038,"VIFSA.21180.20",102877,102176,100808,101479,99477,21180,100141,98501,98970,97598,98039
5705,5755,6021,5966,5910,"VIFSA Buloke Shire",5856,"Buloke (S)",6465,6355,6216,6086,5805,"VIFSA.21270.10",5313,5346,5414,5380,5487,21270,5450,5570,5528,5659,5613
15457,15328,14712,14830,14950,"VIFSA Echuca Town",15075,"Campaspe (S)",14367,14400,14511,14611,15200,"VIFSA.21370.10",16738,16608,16347,16477,16091,21370,16218,15833,15961,15580,15706
10864,10827,10704,10695,10725,"VIFSA Kyabram District",10758,"Campaspe (S)",10683,10697,10739,10725,10792,"VIFSA.21370.20",11283,11239,11150,11194,11064,21370,11106,10981,11022,10901,10941
7536,7532,7566,7525,7525,"VIFSA Rochester District",7526,"Campaspe (S)",7690,7732,7646,7615,7529,"VIFSA.21370.30",7687,7675,7651,7663,7630,21370,7640,7590,7610,7553,7571
3849,3859,3915,3905,3893,"VIFSA Rushworth District",3881,"Campaspe (S)",4129,4131,3995,3929,3870,"VIFSA.21370.40",3877,3876,3875,3875,3875,21370,3875,3864,3869,3853,3858
29174,28578,26472,26646,26972,"VIFSA Emerald-Garfield District",27489,"Cardinia (S)",26228,26377,26326,26351,28009,"VIFSA.21450.10",37499,36574,34762,35659,33000,21450,33876,31317,32145,29817,30543
9771,9279,7353,7593,7920,"VIFSA Koo Wee Rup District",8341,"Cardinia (S)",6695,6908,7148,7189,8799,"VIFSA.21450.20",14118,13726,12923,13327,12096,21450,12513,11209,11658,10253,10743
1632,1615,1550,1554,1568,"VIFSA Ballarat Rural",1584,"Ballarat (C)",1530,1532,1534,1547,1599,"VIFSA.20570.20",1799,1784,1754,1769,1724,20570,1739,1686,1705,1650,1668
8384,8254,7579,7755,7876,"VIFSA Buninyong-Mount Helen District",8000,"Ballarat (C)",7035,7140,7303,7411,8127,"VIFSA.20570.30",9222,9137,8967,9052,8797,20570,8882,8628,8712,8464,8545
80737,76961,57207,61365,65518,"VIFSA Officer-Pakenham District",69399,"Cardinia (S)",42909,46893,50528,53488,73196,"VIFSA.21450.30",109737,107643,103135,105466,97696,21450,100531,91070,94391,84186,87647
119420,118601,113829,114957,115829,"VIFSA Berwick-Narre Warren District",116817,"Casey (C)",110533,111487,112159,112889,117695,"VIFSA.21610.10",128889,127962,125988,126980,123874,21610,124951,122051,122945,120236,121147
164937,157350,121464,128398,135093,"VIFSA Cranbourne District",142281,"Casey (C)",95070,100197,106728,114008,149641,"VIFSA.21610.20",240516,233223,218313,225808,203089,21610,210731,187440,195186,172229,179778
50979,50588,48901,49094,49402,"VIFSA Doveton-Hallam District",49812,"Casey (C)",47973,48267,48348,48816,50182,"VIFSA.21610.30",55675,55233,54309,54774,53300,21610,53810,52342,52816,51414,51873
8074,8001,7682,7720,7780,"VIFSA Pearcedale-Tooradin District",7850,"Casey (C)",7706,7689,7672,7702,7911,"VIFSA.21610.40",8826,8750,8592,8672,8424,21610,8509,8283,8352,8145,8213
4845,4856,4879,4913,4896,"VIFSA Central Goldfields Rural",4881,"Central Goldfields (S)",4905,4863,4883,4851,4868,"VIFSA.21670.10",4700,4726,4776,4751,4826,21670,4801,4831,4829,4840,4835
39584,38250,32018,32997,34293,"VIFSA Delacombe-Miners Rest District",35602,"Ballarat (C)",28763,29598,30299,31071,36923,"VIFSA.20570.40",54938,53307,50036,51672,46766,20570,48401,43874,45318,41008,42438
74142,73517,69946,70625,71302,"VIFSA Ivanhoe-Rosanna District",72098,"Banyule (C)",66623,67317,68014,68939,72828,"VIFSA.20660.10",80454,79731,78355,79026,77056,20660,77704,75849,76440,74672,75256
58353,58065,56632,56804,57043,"VIFSA Lower Plenty-Watsonia District",57406,"Banyule (C)",56360,56283,56368,56564,57728,"VIFSA.20660.20",62310,61830,60915,61360,60033,20660,60477,59337,59675,58652,58997
11532,11272,10093,10255,10503,"VIFSA Phillip Island",10756,"Bass Coast (S)",9657,9751,9815,9955,11013,"VIFSA.20740.10",13814,13588,13135,13362,12683,20740,12909,12218,12450,11759,11988
26366,25745,22472,23326,23917,"VIFSA Wonthaggi District",24519,"Bass Coast (S)",20575,20863,21167,21674,25129,"VIFSA.20740.20",33058,32437,31195,31817,29955,20740,30575,28510,29231,27076,27791
41082,39841,33832,34968,36165,"VIFSA Drouin-Warragul District",37380,"Baw Baw (S)",30369,31264,31994,32781,38605,"VIFSA.20830.10",54151,52781,50041,51412,47303,20830,48672,44799,46049,42314,43554
14577,14337,13267,13410,13634,"VIFSA Neerim-Trafalgar District",13864,"Baw Baw (S)",13018,13059,13175,13158,14099,"VIFSA.20830.20",17094,16841,16332,16587,15825,20830,16078,15321,15572,14823,15071
8822,8727,8279,8364,8451,"VIFSA Linton-Smythesdale District",8540,"Golden Plains (S)",7921,8029,8122,8201,8633,"VIFSA.22490.20",9766,9673,9485,9579,9297,22490,9390,9103,9199,8914,9008
29228,29307,29712,29545,29468,"VIFSA Belgrave-Olinda District",29428,"Yarra Ranges (S)",30400,30296,30005,29954,29362,"VIFSA.27450.10",29289,29260,29212,29231,29144,27450,29183,29158,29146,29188,29171
13662,13640,13470,13487,13516,"VIFSA Healesville District",13568,"Yarra Ranges (S)",13175,13220,13344,13429,13604,"VIFSA.27450.20",14301,14225,14072,14147,13921,27450,13997,13808,13862,13706,13756
82577,81109,76806,77323,78095,"VIFSA Kilsyth-Lilydale District",79009,"Yarra Ranges (S)",75036,75413,75739,76352,79945,"VIFSA.27450.30",95025,94172,92284,93314,89922,27450,91156,87138,88519,84107,85661
14194,14101,13890,13890,13905,"VIFSA Monbulk-Seville District",13971,"Yarra Ranges (S)",13728,13753,13802,13890,14034,"VIFSA.27450.40",15199,15113,14933,15020,14738,27450,14840,14562,14652,14301,14438
42167,41983,40343,40812,41093,"VIFSA Brighton District",41447,"Bayside (C)",38613,38902,39437,40106,41727,"VIFSA.20910.10",44416,44155,43649,43896,43162,20910,43405,42742,42943,42334,42543
63963,63488,60426,61040,61578,"VIFSA Hampton-Sandringham District",62253,"Bayside (C)",57506,58090,58858,59841,62908,"VIFSA.20910.20",68074,67684,66922,67294,66085,20910,66520,65293,65675,64409,64884
8194,8114,7778,7816,7886,"VIFSA Maryborough Town",7960,"Central Goldfields (S)",7674,7725,7727,7748,8037,"VIFSA.21670.20",9067,8986,8821,8903,8656,21670,8738,8467,8561,8284,8375
3256,3259,3279,3281,3274,"VIFSA Apollo Bay-Gellibrand District",3268,"Colac-Otway (S)",3420,3403,3350,3280,3263,"VIFSA.21750.10",3308,3298,3280,3289,3265,21750,3272,3259,3262,3256,3257
5208,5212,5259,5242,5232,"VIFSA Beeac-Swan Marsh District",5224,"Colac-Otway (S)",5398,5338,5294,5282,5217,"VIFSA.21750.20",5255,5245,5227,5235,5213,21750,5219,5208,5210,5207,5207
236,234,225,229,230,"VIFSA Upper Yarra Valley District",232,"Yarra Ranges (S)",221,221,221,221,233,"VIFSA.27450.50",257,254,250,252,245,27450,247,241,243,238,239
16774,16715,16437,16465,16544,"VIFSA Warburton-Yarra Junction District",16612,"Yarra Ranges (S)",16347,16347,16333,16238,16665,"VIFSA.27450.60",17608,17529,17368,17448,17185,27450,17281,17028,17111,16845,16935
6434,6478,6776,6674,6621,"VIFSA Yarriambiack Shire",6571,"Yarriambiack (S)",7183,7099,7027,6890,6524,"VIFSA.27630.10",6208,6217,6238,6227,6264,27630,6251,6327,6295,6396,6361
798,794,779,780,783,"VIFSA Unincorporated Vic",786,"Unincorporated Vic",773,778,780,780,790,"VIFSA.29399.10",844,839,830,834,820,29399,825,811,816,802,806
12519,12440,12039,12152,12218,"VIFSA Colac Town",12289,"Colac-Otway (S)",11981,12013,12018,11939,12363,"VIFSA.21750.30",13615,13492,13253,13372,13023,21750,13137,12814,12917,12615,12714
8628,8661,8827,8819,8775,"VIFSA Camperdown-Lismore District",8735,"Corangamite (S)",9118,9031,8907,8845,8697,"VIFSA.21830.10",8416,8429,8459,8443,8494,21830,8476,8543,8518,8598,8570
6976,7005,7145,7142,7104,"VIFSA Cobden-Port Campbell District",7070,"Corangamite (S)",7410,7332,7210,7155,7037,"VIFSA.21830.20",6804,6812,6833,6822,6857,21830,6844,6901,6878,6949,6924
58777,58242,54400,55337,56247,"VIFSA Northcote-Thornbury District",56963,"Darebin (C)",50971,51525,52504,53305,57639,"VIFSA.21890.10",63288,62653,61569,62077,60638,21890,61097,59856,60233,59107,59486
108053,106299,96204,98300,100511,"VIFSA Preston-Reservoir District",102478,"Darebin (C)",91971,93116,94183,95423,104440,"VIFSA.21890.20",125839,123821,120017,121873,116322,21890,118171,112995,114628,109668,111365
15193,14986,14044,14197,14386,"VIFSA Bairnsdale Town",14582,"East Gippsland (S)",13458,13601,13658,13927,14782,"VIFSA.22110.10",17415,17186,16727,16957,16269,22110,16498,15833,16050,15404,15617
17733,17469,16168,16456,16699,"VIFSA Lakes District",16951,"East Gippsland (S)",15300,15515,15719,15920,17208,"VIFSA.22110.20",20553,20269,19699,19984,19130,22110,19414,18565,18847,18007,18285
7620,7575,7364,7415,7451,"VIFSA Omeo District",7490,"East Gippsland (S)",7272,7343,7335,7331,7532,"VIFSA.22110.30",8050,8009,7927,7968,7845,22110,7886,7752,7799,7663,7707
6470,6481,6559,6543,6524,"VIFSA Orbost District",6508,"East Gippsland (S)",6800,6720,6676,6592,6494,"VIFSA.22110.40",6222,6252,6310,6281,6368,22110,6339,6406,6387,6448,6427
81600,81103,78304,78831,79344,"VIFSA Frankston-Seaford District",79987,"Frankston (C)",76755,77114,77379,77798,80543,"VIFSA.22170.10",87220,86500,85232,85832,84156,22170,84676,83083,83596,82076,82575
10798,10742,10405,10534,10581,"VIFSA Geelong Newtown District",10633,"Greater Geelong (C)",10030,10029,10216,10296,10687,"VIFSA.22750.40",11314,11255,11138,11196,11022,22750,11080,10929,10975,10840,10884
61380,60909,58181,58723,59228,"VIFSA Langwarrin-Skye District",59803,"Frankston (C)",53595,54640,56080,57445,60339,"VIFSA.22170.20",67001,66316,65094,65680,63980,22170,64528,62984,63468,61928,62482
9348,9428,9949,9771,9680,"VIFSA Gannawarra Shire",9593,"Gannawarra (S)",10453,10372,10314,10145,9509,"VIFSA.22250.10",9164,9176,9203,9189,9238,22250,9220,9275,9255,9321,9297
54759,54515,52592,53154,53504,"VIFSA Bentleigh District",53895,"Glen Eira (C)",48933,49838,50624,51630,54212,"VIFSA.22310.10",58122,57689,56882,57273,56133,22310,56502,55512,55805,54971,55237
60308,59909,58336,58716,59061,"VIFSA Altona-Seabrook District",59343,"Hobsons Bay (C)",55244,55728,56574,57787,59611,"VIFSA.23110.10",67136,66567,65387,65988,63958,23110,64704,62406,63148,60977,61669
99054,98359,93940,94896,95687,"VIFSA Carnegie-Caulfield District",96644,"Glen Eira (C)",88219,89404,90789,92429,97537,"VIFSA.22310.20",105829,105065,103674,104343,102364,22310,103015,101071,101695,99696,100418
8228,8265,8488,8433,8387,"VIFSA Glenelg Rural",8344,"Glenelg (S)",8955,8839,8658,8552,8304,"VIFSA.22410.10",8112,8114,8122,8117,8135,22410,8128,8168,8151,8207,8186
11033,10991,10822,10850,10880,"VIFSA Portland Town",10914,"Glenelg (S)",10894,10923,10842,10806,10952,"VIFSA.22410.20",11466,11415,11319,11366,11229,22410,11273,11145,11186,11068,11105
15428,15008,12835,13349,13758,"VIFSA Bannockburn-Meredith District",14173,"Golden Plains (S)",11037,11441,12014,12343,14590,"VIFSA.22490.10",19075,18698,17944,18321,17192,22490,17567,16481,16836,15777,16128
25767,25099,21822,22488,23129,"VIFSA Ascot-Eaglehawk District",23780,"Greater Bendigo (C)",19066,19606,20395,21181,24437,"VIFSA.22620.10",32983,32252,30788,31520,29325,22620,30056,27890,28606,26470,27178
44324,43551,39932,40565,41290,"VIFSA Bendigo-Kangaroo Flat District",42034,"Greater Bendigo (C)",37983,38537,38925,39343,42787,"VIFSA.22620.20",52469,51644,49991,50817,48340,22620,49165,46714,47524,45113,45909
34263,33772,31515,31897,32350,"VIFSA East Bendigo-Strathfieldsaye District",32817,"Greater Bendigo (C)",30291,30611,30892,31168,33291,"VIFSA.22620.30",39680,39126,38016,38571,36907,22620,37461,35834,36369,34780,35304
16830,16565,15401,15547,15793,"VIFSA Greater Bendigo Rural",16047,"Greater Bendigo (C)",14669,14861,15021,15272,16304,"VIFSA.22620.40",19618,19327,18744,19035,18163,22620,18453,17622,17892,17091,17355
69885,68835,62403,63725,65140,"VIFSA Dandenong District",66469,"Greater Dandenong (C)",58116,59064,60060,61130,67690,"VIFSA.22670.10",80531,79430,77255,78333,75111,22670,76180,72970,74013,70883,71927
38152,37562,33834,34661,35419,"VIFSA Newport-Williamstown District",36125,"Hobsons Bay (C)",32152,32547,32832,33361,36878,"VIFSA.23110.20",40538,40325,39891,40106,39415,23110,39661,39069,39235,38510,38895
3346,3347,3360,3360,3355,"VIFSA Horsham Rural",3351,"Horsham (RC)",3424,3421,3397,3366,3349,"VIFSA.23190.10",3439,3431,3415,3422,3402,23190,3408,3377,3389,3355,3366
98853,97856,90333,92188,93995,"VIFSA Keysborough-Springvale District",95486,"Greater Dandenong (C)",84051,85248,86555,88388,96723,"VIFSA.22670.20",110109,108737,106166,107420,103784,22670,104959,101750,102748,99784,100758
48082,46912,41474,42288,43425,"VIFSA Barwon Heads-Portarlington District",44581,"Greater Geelong (C)",38245,38795,39639,40736,45744,"VIFSA.22750.10",61269,59891,57135,58512,54387,22750,55759,51848,53116,49331,50588
42452,42265,41188,41572,41727,"VIFSA Bell Park-Corio District",41900,"Greater Geelong (C)",40956,40818,40712,40879,42081,"VIFSA.22750.20",44831,44562,44025,44293,43493,22750,43758,43062,43276,42650,42854
107629,106513,100603,101736,102917,"VIFSA Moorabbin-Mordialloc District",104235,"Kingston (C)",96273,97552,98650,99764,105400,"VIFSA.23430.20",119417,117992,115304,116611,112842,23430,114043,110711,111744,108705,109714
13462,13345,12784,12894,13001,"VIFSA Geelong Central District",13114,"Greater Geelong (C)",12422,12506,12602,12696,13229,"VIFSA.22750.30",14840,14703,14427,14565,14154,22750,14290,13873,14013,13597,13735
71700,71108,67521,68121,68872,"VIFSA Bayswater-Ferntree Gully District",69725,"Knox (C)",66462,66629,66811,67152,70443,"VIFSA.23670.10",78644,77930,76448,77194,74903,23670,75678,73573,74212,72299,72928
43595,43422,42171,42322,42655,"VIFSA Rowville District",42955,"Knox (C)",42194,42098,41960,41940,43189,"VIFSA.23670.20",45920,45645,45101,45370,44562,23670,44831,44154,44351,43765,43957
50112,49688,47150,47573,48177,"VIFSA Scoresby-Wantirna District",48660,"Knox (C)",45967,45865,46026,46417,49178,"VIFSA.23670.30",54633,54193,53282,53740,52324,23670,52809,51523,51911,50588,51102
12042,11960,11710,11665,11732,"VIFSA Churchill District",11804,"Latrobe (C)",11584,11684,11716,11786,11881,"VIFSA.23810.10",12914,12841,12693,12767,12547,23810,12620,12340,12443,12139,12239
4712,4697,4630,4650,4659,"VIFSA Glengarry North-Tyers District",4670,"Latrobe (C)",4653,4659,4631,4622,4683,"VIFSA.23810.20",4733,4735,4740,4738,4744,23810,4742,4730,4737,4717,4723
16578,16554,16430,16498,16503,"VIFSA Moe Town",16515,"Latrobe (C)",16942,16723,16552,16403,16532,"VIFSA.23810.30",17688,17524,17195,17360,16867,23810,17031,16746,16806,16631,16687
14271,14229,14101,14096,14121,"VIFSA Morwell Town",14153,"Latrobe (C)",14302,14334,14190,14140,14189,"VIFSA.23810.40",14946,14869,14714,14792,14560,23810,14637,14440,14499,14325,14381
28716,28357,26819,26994,27319,"VIFSA Traralgon Town",27657,"Latrobe (C)",26307,26577,26689,26711,28004,"VIFSA.23810.50",32173,31828,31135,31482,30444,23810,30789,29742,30092,29053,29396
7297,7314,7386,7399,7374,"VIFSA Loddon Shire",7352,"Loddon (S)",7549,7494,7438,7381,7332,"VIFSA.23940.10",7172,7182,7204,7193,7225,23940,7214,7251,7238,7280,7265
25052,24768,22901,23477,23816,"VIFSA Gisborne District",24151,"Macedon Ranges (S)",21267,21611,21925,22285,24461,"VIFSA.24130.10",28703,28301,27517,27903,26762,24130,27137,26063,26409,25378,25719
20393,20237,19563,19640,19781,"VIFSA Geelong West District",19930,"Greater Geelong (C)",19247,19350,19443,19522,20082,"VIFSA.22750.50",21900,21756,21466,21611,21180,22750,21323,20858,21018,20545,20701
10199,10066,9443,9563,9684,"VIFSA Kyneton District",9809,"Macedon Ranges (S)",8879,9068,9205,9334,9937,"VIFSA.24130.20",11400,11283,11048,11165,10813,24130,10930,10562,10687,10318,10439
13932,13802,13153,13231,13351,"VIFSA Romsey District",13513,"Macedon Ranges (S)",12714,12841,12936,13096,13657,"VIFSA.24130.30",16220,15925,15371,15640,14865,24130,15113,14487,14674,14111,14299
101189,100017,93068,94478,96081,"VIFSA Doncaster-Templestowe District",97439,"Manningham (C)",90211,90582,90955,91943,98815,"VIFSA.24210.10",110253,109337,107513,108430,105703,24210,106606,103991,104853,102335,103147
